,HOU_0-30,HOU_30-60,HOU_60-90,HOU_90-95,HOU_95-100,GOV
farm,13.248043492819276,14.194332313734941,16.086909955566263,15.140621134650601,12.301754671903614,7.570310567325301
fish,10.611127345340908,11.672240079874998,16.977803752545455,22.28336742521591,24.405592894284087,7.427789141738637
min,10.882730657403844,12.86140895875,12.86140895875,13.850748109423076,19.786783013461537,32.648191972211535
fore,11.158904117833332,12.8756585975,13.734035837333332,9.442149638166667,8.583772398333334,11.158904117833332
oilext,10.798620359870588,11.780313119858823,16.688776919800002,13.743698639835292,15.707084159811766,14.725391399823529
smwork,9.626529601176472,11.551835521411764,11.551835521411764,10.589182561294118,10.589182561294118,11.551835521411764
mills,7.275390947783784,11.82251029014865,14.550781895567567,10.913086421675676,10.913086421675676,11.82251029014865
fact,10.860184955845238,13.822053580166667,15.79663266304762,15.79663266304762,16.783922204488096,9.872895414404763
foodpr,12.3277889465,15.172663318769231,15.172663318769231,12.3277889465,13.276080403923078,5.689748744538461
oilref,11.7452172456,11.7452172456,15.6602896608,14.681521557000002,16.6390577646,22.511666387400002
retail,12.896036298962963,15.659472648740744,15.659472648740744,11.974890849037038,11.974890849037038,6.448018149481482
itser,10.72637272661644,13.65174710660274,13.65174710660274,11.701497519945207,12.676622313273972,8.776123139958905
tourism,9.544952802727272,11.453943363272728,14.31742920409091,16.226419764636365,17.180915044909092,4.772476401363636
restau,8.770872902307692,11.694497203076923,15.592662937435898,15.592662937435898,18.51628723820513,5.847248601538461
transp,11.00581646958904,12.840119214520547,13.7572705869863,11.922967842054794,11.00581646958904,6.420059607260273
commun,12.492505322433736,14.41442921819277,16.336353113951805,15.375391166072289,15.375391166072289,5.765771687277108
bank,11.472333129479592,12.354820293285714,15.884768948510205,15.002281784704081,18.532230439928572,13.237307457091836
insur,9.58597778482353,12.461771120270589,16.2961622342,15.337564455717647,16.2961622342,11.503173341788235
pension,11.54490265019178,10.582827429342466,11.54490265019178,13.46905309189041,12.506977871041094,10.582827429342466
foodser,9.572296926024691,13.053132171851853,13.923340983308643,12.182923360395064,13.923340983308643,7.831879303111111
post,11.11595200556579,12.826098467960525,11.11595200556579,11.11595200556579,13.681171699157893,5.13043938718421
