,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95
cagri,8652.11018458715,10092.322766121048,8875.499024712919,8397.223801625189,8118.017302071248,7535.9003144830485,7315.327327721092,7952.008152065213,7669.022945367964,2135.8570441267543,1900.4878826196248,2686.972134359732,3547.9797379072256,0.0
clani,387.10969897651904,730.6029505636793,771.1562227510082,708.8728992194328,617.088049352587,393.40039748291804,453.35618184504597,933.4453447482989,1736.4205391321848,1361.6648336381038,605.0081300794322,1568.2657436958043,933.2446659388019,2931.7736826633627
cfore,685.3814443779287,1215.9931348915545,1546.9102165853333,677.2142668785206,338.32850046933095,362.9186988186443,218.7053684545742,121.6783680219256,538.8866444067304,27.918245002597388,138.4978949167726,209.18556888839672,289.82051996578303,82.53979509830529
cfish,68.31607020448911,128.93482801975136,136.09155955372248,125.09996746961374,108.90202599775134,69.42623562254674,80.0070699040892,164.73190383108016,306.4387892359851,240.302918309074,106.77019459360082,276.7632868121875,164.69648857882893,517.3914713530665
ccoal,119.50737121853935,178.25899785201142,79.13366733436344,68.54025913586311,232.43399181414316,94.8624893099255,75.84687077079418,28.366324090325712,5.817265824128575,0.0,0.0,0.0,6.834365367715178,0.0
cmore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comin,139.8337513815551,208.57813315616156,92.59309656898762,80.19791129122271,271.96746688140024,110.9971511409309,88.74726606643704,33.19100294827574,6.806693969396097,0.0,0.0,0.0,7.996786624418188,0.0
celcg,30.983875492644675,38.44701979784593,45.018218071891816,53.7266526238896,64.27721184423824,76.36537792086935,88.61985528155398,131.27054113305056,186.4354297741561,46.36509245527804,46.99531068181208,50.316368642857746,61.409933209835955,72.4565654375647
cwatr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmeat,2774.217475513137,4035.554690863264,4766.053798910833,5396.870365249294,5890.072753130677,6633.460962459602,6658.277537993525,8943.103843316805,9980.713221562042,2737.5415834998407,2142.123053808992,2366.663531511341,2266.530334283512,2567.1667512722984
cpfis,558.3190200537763,645.4655383602018,730.4791031140642,726.0025166346064,774.6016382893154,951.0444078957997,870.7999381157515,1031.0647228168757,1437.7573232382567,450.0641365737621,289.2873839539057,356.13798978188856,556.1116560828949,420.77193639018276
cvege,784.657209029149,904.7873096706865,926.4437488991414,924.7016827465696,925.3547872699472,955.1905503687536,937.5583455624663,1090.9533556999422,1361.1293595881996,367.3479874080331,331.15919800079166,484.14552854387205,345.69821905184534,403.7200055029005
cfrui,266.3465078911339,444.71617456392204,538.5982876747049,648.3859136774821,693.053867538928,853.7277811573078,885.3920518152493,1430.4569479351749,1946.9045915703234,718.4825491702629,605.7730062772785,633.9485003918593,913.8632797945291,939.8020286967093
