,flab-p,flab-m,flab-s,flab-t,fcap
hhd-0,10185.949296780092,6192.632871852635,1108.5055893870247,67.33583395977993,1855.254591663871
hhd-1,13001.64493690597,8647.522911067468,4331.050680265379,777.5487749049445,4839.393020563982
hhd-2,10203.30315989388,11963.622382931746,8802.083879649359,1760.2412004286473,7932.247213375204
hhd-3,11136.644177677455,14731.502558319606,15094.745963595282,1992.1360327596667,12126.025047458546
hhd-4,10468.40767010469,18877.014836199185,20532.988256282537,5406.361720571197,18073.160144875208
hhd-5,12610.502670172998,25723.29852755092,36322.72973186653,15187.148645115636,27432.026433697236
hhd-6,9574.270701757194,21631.386531891083,59893.96734605387,29253.028103057462,41840.77359738408
hhd-7,8440.909745082194,32086.45990902186,76815.35654218566,82515.62339871305,63058.70092907495
hhd-8,6350.022337147623,27956.513183344123,116269.63805676784,256476.18112061266,101685.6254170582
hhd-91,1696.7785177842777,5322.879385766529,23326.143963870356,75581.12603705896,34555.98907052027
hhd-92,631.8416790713758,5758.4521946612485,28920.322851855446,82131.10293276336,31341.256674405493
hhd-93,4935.514403621349,2549.652180343824,28630.08178775415,129734.81629555608,46596.97606599605
hhd-94,1610.4913470830224,3018.8640217199504,25130.94860923486,174193.8500166254,39776.81776411189
hhd-95,610.9854198229019,766.5073779400882,32710.99197075243,284398.3697228375,89485.75402981503
