,gov
cagri,0.0
clani,0.0
cfore,0.0
cfish,0.0
ccoal,0.0
cmore,0.0
comin,0.0
celcg,0.0
cwatr,0.0
cmeat,0.0
cpfis,0.0
cvege,0.0
cfrui,0.0
cfats,0.0
cdair,0.0
cgrai,0.0
cstar,0.0
cafee,0.0
cbake,0.0
csuga,0.0
cconf,0.0
cpast,0.0
cofoo,0.0
calcb,0.0
csftd,0.0
ctoba,0.0
ctexf,0.0
ctexm,0.0
ccarp,0.0
cotex,0.0
cknit,0.0
cwear,0.0
cleat,0.0
cfoot,0.0
cwood,0.0
cpapp,0.0
cprnt,0.0
cpetr,0.0
cbchm,0.0
cfert,0.0
cpain,0.0
cphar,0.0
csoap,0.0
coche,0.0
ctyre,0.0
corub,0.0
cplas,0.0
cglas,0.0
ccera,0.0
cclay,0.0
ccmnt,0.0
cconc,0.0
conmp,0.0
cfurn,0.0
cjewl,0.0
comnf,0.0
cwast,0.0
cirst,0.0
cnfme,0.0
cstrm,0.0
ctank,0.0
cofbm,0.0
cengt,0.0
cpump,0.0
cgear,0.0
clift,0.0
cgenm,0.0
cspcm,0.0
cdoma,0.0
coffm,0.0
celcm,0.0
crdtv,0.0
cmeda,0.0
cmtvp,0.0
cship,0.0
crail,0.0
cairc,0.0
coteq,0.0
ccnst,0.0
ccsrv,0.0
ctrad,0.0
cacco,0.0
ccats,0.0
cptrp,0.0
cftrp,0.0
ctrps,0.0
cpost,0.0
celcd,0.0
cwatd,0.0
cfins,0.0
cinsp,0.0
cofin,0.0
creal,0.0
crent,0.0
crsea,0.0
clacc,0.0
cobus,0.0
ctelc,0.0
csupp,0.0
cmnfs,0.0
cpuba,828934.0
ceduc,0.0
cheal,0.0
cosrv,0.0
