,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95,gov
cagri,8652.11018458715,10092.322766121,8875.49902471292,8397.22380162519,8118.01730207125,7535.90031448305,7315.32732772109,7952.00815206521,7669.02294536796,2135.85704412675,1900.48788261962,2686.97213435973,3547.97973790723,0.0,0.0
clani,387.109698976519,730.602950563679,771.156222751008,708.872899219433,617.088049352587,393.400397482918,453.356181845046,933.445344748299,1736.42053913218,1361.6648336381,605.008130079432,1568.2657436958,933.244665938802,2931.77368266336,0.0
cfore,685.381444377929,1215.99313489155,1546.91021658533,677.214266878521,338.328500469331,362.918698818644,218.705368454574,121.678368021926,538.88664440673,27.9182450025974,138.497894916773,209.185568888397,289.820519965783,82.5397950983053,0.0
cfish,68.3160702044891,128.934828019751,136.091559553722,125.099967469614,108.902025997751,69.4262356225467,80.0070699040892,164.73190383108,306.438789235985,240.302918309074,106.770194593601,276.763286812188,164.696488578829,517.391471353067,0.0
ccoal,119.507371218539,178.258997852011,79.1336673343634,68.5402591358631,232.433991814143,94.8624893099255,75.8468707707942,28.3663240903257,5.81726582412858,0.0,0.0,0.0,6.83436536771518,0.0,0.0
cmore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comin,139.833751381555,208.578133156162,92.5930965689876,80.1979112912227,271.9674668814,110.997151140931,88.747266066437,33.1910029482757,6.8066939693961,0.0,0.0,0.0,7.99678662441819,0.0,0.0
celcg,30.9838754926447,38.4470197978459,45.0182180718918,53.7266526238896,64.2772118442382,76.3653779208694,88.619855281554,131.270541133051,186.435429774156,46.365092455278,46.9953106818121,50.3163686428577,61.409933209836,72.4565654375647,0.0
cwatr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmeat,2774.21747551314,4035.55469086326,4766.05379891083,5396.87036524929,5890.07275313068,6633.4609624596,6658.27753799352,8943.10384331681,9980.71322156204,2737.54158349984,2142.12305380899,2366.66353151134,2266.53033428351,2567.1667512723,0.0
cpfis,558.319020053776,645.465538360202,730.479103114064,726.002516634606,774.601638289315,951.0444078958,870.799938115752,1031.06472281688,1437.75732323826,450.064136573762,289.287383953906,356.137989781889,556.111656082895,420.771936390183,0.0
cvege,784.657209029149,904.787309670686,926.443748899141,924.70168274657,925.354787269947,955.190550368754,937.558345562466,1090.95335569994,1361.1293595882,367.347987408033,331.159198000792,484.145528543872,345.698219051845,403.720005502901,0.0
cfrui,266.346507891134,444.716174563922,538.598287674705,648.385913677482,693.053867538928,853.727781157308,885.392051815249,1430.45694793518,1946.90459157032,718.482549170263,605.773006277278,633.948500391859,913.863279794529,939.802028696709,0.0
cfats,1305.03765381748,1592.31239417266,1619.59527988322,1767.56016863545,1708.64179224243,1669.4961851319,1695.14458582338,1841.9223072239,2423.31972898091,433.082350970191,325.474298960103,349.862643774049,518.446106980411,369.187743810089,0.0
cdair,1451.47049153397,1968.73539183533,2420.99659972874,2600.59844609423,2756.71553933344,3181.23374187624,3340.73804266144,4370.50833471424,5572.91711267888,1518.46821781413,1503.22398127967,1456.27028375077,1607.71782334376,1757.43207539163,0.0
cgrai,4419.69015742865,5003.76670597749,4579.50725791116,4139.88389604525,3691.15831399756,3302.63574904985,2892.86411919871,2871.45417897273,2635.11319569655,573.588951593016,489.456383338638,413.398976123468,391.181629693076,488.685509004709,0.0
cstar,2044.08108962277,2314.21310912059,2117.99557259745,1914.67231496229,1707.13933323234,1527.449898088,1337.93289354533,1328.03092024244,1218.72458486378,265.281566672078,226.370741328107,191.194631176368,180.919237182147,226.014216415199,0.0
cafee,34.2037706990131,53.1861185927076,102.694721656649,185.674283327675,220.984204137553,424.695814755607,566.096487181917,1175.96565230774,3101.25077140262,763.846394822393,1258.55521013988,1509.7804916844,1540.62204907096,1611.58203399993,0.0
cbake,5166.27658323677,6378.52722110344,6933.93342694883,7377.76180005207,7538.28401741382,7918.32461443201,7753.12365191078,8054.9496486101,8758.69686386978,1884.73738251399,1860.21648281569,1661.83708890728,1671.21135106154,1733.55512600512,0.0
csuga,1823.54106536882,2281.10140439386,2166.47551067553,2022.95084070744,2003.39141345191,1774.28025762827,1522.82708972503,1450.43595166647,1392.19314554843,305.275273999225,229.393734288999,204.43220885966,260.65735556133,222.314644512307,0.0
cconf,167.564398402593,302.836565658385,278.727223961452,370.098168067332,414.215173945654,603.715349002691,593.918952530407,979.597843129976,1758.25256244608,594.210612331181,466.34027979752,643.787371792419,1162.84485649909,1004.46535178103,0.0
cpast,37.2619622016048,61.9805098188169,91.6141914558109,93.7812764313167,128.899225877239,167.554819913766,156.756189954463,232.680520403999,272.614510853342,74.0393272671975,75.8722851367252,78.8295813433168,79.9513275202798,69.1395521172258,0.0
cofoo,1178.02383409158,1614.45010707832,1966.41254482081,2151.84572285875,2278.96627925173,2262.75102553716,2074.43555351524,3102.08222233249,3630.81603194259,921.893843615549,639.815127199586,1185.68652837711,1090.03321449009,2127.30685974022,0.0
calcb,1424.472921426,2444.89069780125,3417.64835262499,4965.12902080208,6117.37689324176,9201.76080788735,9416.95063516209,10714.5008737187,13049.7439656237,3823.2442679798,2984.32783335846,2717.85984564703,5118.85839419683,5648.88605640908,0.0
csftd,949.051900240621,1239.6006599744,1479.84884670483,1814.47377678946,1914.39148771872,2289.4718378685,2416.48741800367,3030.42073469723,3309.02455013231,797.04816748683,662.288285488228,858.518390899389,967.439232850439,909.509442677843,0.0
ctoba,990.996196207144,1542.16277863316,2138.16582853745,2957.5982457412,3703.81634841054,4485.00180251586,4351.0061394719,5960.16979497103,7446.92190832615,971.352196307322,994.575729076186,1456.46066631719,1508.79329638708,1697.45848160754,0.0
ctexf,55.4572038122553,52.4987292944129,69.608919219678,56.0838097429237,96.2775247677277,65.6598381269816,132.104196306103,131.333438918768,250.446184968347,133.923903596814,55.723259783225,111.034720902449,31.2848668741345,78.9961690968898,0.0
ctexm,337.595955987458,447.258333069816,649.993143911273,666.409383266345,813.281526028916,928.3176815128,1280.26314641161,1588.76709227743,2083.0967845384,553.69933903252,597.220196590968,619.998738221686,1025.32535722828,1563.24594746022,0.0
ccarp,44.8642693655283,61.1950484981532,41.7949526825393,60.3460411418457,53.659735178527,69.2976763127873,131.221986062208,164.682373866235,184.621803258701,28.7781397748296,74.0934207641315,148.339753486405,372.927703473833,197.366608455605,0.0
cotex,49.3406036170738,65.3680701295214,94.9983360248937,97.3976158282682,118.863394816176,135.676254237908,187.114079159733,232.202803231518,304.450485614611,80.9247241434797,87.2854205433687,90.6145688155656,149.854200360785,228.472815748116,0.0
cknit,14.4193951477812,22.6107170036132,21.016381010663,23.141353093185,24.5948649849503,45.598009090339,32.3113950015112,50.8116414710298,65.7044599405467,20.5896367752362,21.7495510071368,27.8814683660144,24.5826687780732,52.9311136318582,0.0
cwear,2780.66878012846,3702.42418295991,4356.99269109435,4363.65151255344,4503.24842664792,5669.83613130534,6113.94255795018,7598.57005378232,9724.53025765087,2299.00288213406,1866.0968025753,2323.16987510524,2629.56784565018,3143.22177672216,0.0
cleat,230.634466599536,258.828948129278,297.785471477079,249.133973870154,291.730060114697,347.392558385801,459.322044092597,446.16585312662,650.220013131489,163.78023833625,185.864781723094,231.636437983232,258.418374724896,446.913709973678,0.0
cfoot,1019.55173847754,1366.19595744465,1653.65676460507,1654.88313932228,1753.15831887704,2010.33270954784,2291.09895171889,2768.96444090773,3462.51701132283,787.700299544704,652.361309767354,861.361945751548,989.575309897438,1122.28139820522,0.0
cwood,52.9655766981949,70.7134825951974,88.3993663945299,96.3749217109437,127.997805024284,115.658775193749,115.885043004018,178.596063359918,282.508746157967,96.3731644095193,74.6032978833669,83.2049102907292,141.7016951557,148.904663488545,0.0
cpapp,542.299486442242,1028.26613762508,981.053229336923,1104.90585785276,1003.5626413893,1181.72450421673,1193.63100253269,1360.27038834518,1828.20999839449,490.709203534297,433.842333265584,357.063075886886,452.699717859445,491.663038544053,0.0
cprnt,35.7882912552007,71.5848729822986,148.377430621046,273.121082748133,315.792599100777,764.806316061146,1167.03545740338,1380.76727124265,2705.07360580617,816.042106766468,668.377720727383,1029.15709733885,1249.38033986114,1669.43569401506,0.0
cpetr,498.264759758195,825.032537227344,1487.08660707393,2210.9395897115,2459.94815196133,4620.32530339303,6463.0916403902,12313.3459098265,23848.7046091644,6094.05095426666,6331.95860239087,7807.4722126024,8444.71471114429,10121.1625364041,0.0
cbchm,4.00400370781824,14.1071865077412,41.5786693492604,61.8877483354265,27.0239727829461,103.848346508541,83.0256360703552,80.2718576528882,227.897466868449,68.4967450690651,26.7879722456658,84.7614620748283,139.968920789417,126.25487612321,0.0
cfert,53.9510945668576,75.9915033471824,126.23066682952,161.202209253893,267.184596359594,189.55441846012,292.381106463711,427.570185733878,871.56444517716,223.468226101422,248.652684065642,148.307206138275,235.983219315313,217.814228919961,0.0
cpain,8.34137433575679,86.0611165468002,142.434666640999,233.709765029952,18.7337107887085,53.0431476004954,67.3082772901579,110.513694002105,24.8846309646257,0.0,18.3334411811795,43.6146640617283,37.3761419358748,0.0,0.0
