,2023
Gov_wealth,150.51972269
Gov_PI,0.98398101869
Gov_income,148.10855006
K_price,0.7860709764
L_price,0.99689531025
farm_supply,71.380920363
farm_price,1.006835772
K_farm_tax,0.010096425106
L_farm_tax,0.16463412003
fish_supply,71.077398672
fish_price,1.0213068778
K_fish_tax,0.0
L_fish_tax,0.15606189351
min_supply,74.06740969
min_price,1.0123413588
K_min_tax,0.032347735704
L_min_tax,0.22743004401
fore_supply,61.625038711
fore_price,1.0092838765
K_fore_tax,0.035871696413
L_fore_tax,0.18023309234
oilext_supply,74.153465184
oilext_price,0.95757774389
K_oilext_tax,0.051412877614
L_oilext_tax,0.16889762908
smwork_supply,64.080150306
smwork_price,0.94353544074
K_smwork_tax,0.03989556715
L_smwork_tax,0.13819668577
mills_supply,60.426900305
mills_price,0.97723608015
K_mills_tax,0.048733882691
L_mills_tax,0.16204346373
fact_supply,70.125816284
fact_price,0.98093559545
K_fact_tax,0.082258650653
L_fact_tax,0.20109587348
foodpr_supply,65.553527531
foodpr_price,1.0084565786
K_foodpr_tax,0.058874438944
L_foodpr_tax,0.22562786967
oilref_supply,76.71602636
oilref_price,0.98527441684
K_oilref_tax,0.014409754912
L_oilref_tax,0.17512443812
retail_supply,75.20220167
retail_price,0.9806148042
K_retail_tax,0.061892497996
L_retail_tax,0.18249348591
itser_supply,66.255321606
itser_price,0.97682681272
K_itser_tax,0.022293104063
L_itser_tax,0.16807400885
tourism_supply,61.825926847
tourism_price,1.0078057949
K_tourism_tax,0.034539245531
L_tourism_tax,0.17835447395
restau_supply,66.946254098
restau_price,0.9816790443
K_restau_tax,0.068228984209
L_restau_tax,0.18160032664
transp_supply,67.044814422
transp_price,0.96736117501
K_transp_tax,0.094321423859
L_transp_tax,0.17087432829
commun_supply,77.597036143
commun_price,0.97130321534
K_commun_tax,0.065954140787
L_commun_tax,0.17812042995
bank_supply,76.874995983
bank_price,0.98000835028
K_bank_tax,0.15168440724
L_bank_tax,0.19857866496
insur_supply,78.086934926
insur_price,0.94010994139
K_insur_tax,0.09696634081
L_insur_tax,0.14046240258
pension_supply,66.705497046
pension_price,0.954351854
K_pension_tax,0.057875929091
L_pension_tax,0.15029262419
foodser_supply,60.50124089
foodser_price,1.0206271767
K_foodser_tax,0.062757191898
L_foodser_tax,0.20974453989
post_supply,58.567817158
post_price,1.0151735727
K_post_tax,0.14234575381
L_post_tax,0.22408677605
HOU_0-30_Wealth,233.83106598
HOU_0-30_CPI,0.98517316024
HOU_0-30_Income,230.36409023
HOU_30-60_Wealth,286.06411427
HOU_30-60_CPI,0.98530110614
HOU_30-60_Income,281.85928821
HOU_60-90_Wealth,265.47314992
HOU_60-90_CPI,0.98468091727
HOU_60-90_Income,261.40634478
HOU_90-95_Wealth,210.02002214
HOU_90-95_CPI,0.98535609111
HOU_90-95_Income,206.94450807
HOU_95-100_Wealth,298.4669267
HOU_95-100_CPI,0.98602133684
HOU_95-100_Income,294.29475807
